Trader_ID,Region,Account_Type,Trade_ID,Instrument,Trade_Type,Trade_Date,Entry_Price,Exit_Price,Profit_Loss,Drawdown,Position_Size,Leverage,Trade_Duration_Minutes,Scalper_Flag,Risk_Score,Win_Flag,Cumulative_Profit,Trading_Session,Position_Exposure,Risk_per_Trade,Streak_ID
T0467,East,Retail,TR00011,Stock,Short,2025-09-20,357.13,357.06356973696285,-590.57,7.72,889,10,12,Yes,1,No,-590.57,Evening,3174885.7,68630.8,8
T0215,West,Retail,TR00012,Commodity,Long,2025-08-09,916.72,919.7043347166516,1957.72,15.59,328,2,64,No,1,Yes,1957.72,Afternoon,601368.32,10227.04,8
T0331,North,Institutional,TR00013,Stock,Long,2025-06-19,397.58,395.1842778071616,-14.37,6.21,2,3,4,Yes,1,No,-14.37,Evening,2385.48,37.26,8
T0459,South,Retail,TR00014,Stock,Long,2025-12-24,823.05,816.6488658065424,-1299.43,45.44,203,1,35,No,2,No,-1299.43,Afternoon,167079.15,9224.32,9
T0088,South,Retail,TR00015,Commodity,Long,2025-12-05,205.33,206.9633267462927,421.4,19.8,258,1,26,No,1,Yes,421.4,Afternoon,52975.14,5108.4,10
T0373,South,Institutional,TR00016,Crypto,Long,2026-01-23,57.69,59.56996787020832,1434.42,0.75,763,1,80,No,1,Yes,1434.42,Evening,44017.47,572.25,11
T0100,North,Retail,TR00017,Stock,Long,2025-11-27,783.86,774.20784612744,-35423.4,68.42,367,10,1,Yes,4,No,-35423.4,Morning,2876766.2,251101.4,1
T0360,South,Institutional,TR00018,Commodity,Long,2026-01-23,546.46,529.730476759287,-7327.53,4.5,146,3,135,No,1,No,-7327.53,Morning,239349.48,1971.0,1
T0152,West,Retail,TR00019,Stock,Long,2026-01-12,508.69,502.3093787555224,-106811.6,4.21,837,20,232,No,2,No,-106811.6,Morning,8515470.6,70475.4,1
T0131,South,Retail,TR00020,Crypto,Long,2026-02-06,279.48,278.92259372340294,-632.1,17.55,378,3,147,No,1,No,-632.1,Evening,316930.32,19901.7,2
T0150,South,Retail,TR00021,Forex,Long,2025-12-20,81.59,78.58531795986423,-13250.65,4.69,441,10,204,No,1,No,-13250.65,Afternoon,359811.9,20682.9,3
T0309,West,Retail,TR00022,Forex,Long,2026-01-25,488.03,489.0003451320203,441.51,16.8,455,1,123,No,1,Yes,441.51,Evening,222053.65,7644.0,3
T0258,South,Institutional,TR00023,Crypto,Long,2025-06-28,868.55,878.5015151124188,20251.33,46.33,407,5,84,No,3,Yes,20251.33,Morning,1767499.25,94281.55,4
T0344,West,Retail,TR00024,Stock,Short,2025-02-23,128.82,126.15949213748566,-6281.46,9.72,787,3,29,No,1,No,-6281.46,Evening,304144.02,22948.92,5
T0492,South,Retail,TR00025,Stock,Long,2025-05-16,929.88,924.3853760747938,-208.8,71.91,19,2,39,No,4,No,-208.8,Evening,35335.44,2732.58,5
T0414,West,Retail,TR00026,Forex,Short,2025-12-22,281.98,285.7985197461814,72857.36,0.34,954,20,45,No,2,Yes,72857.36,Morning,5380178.4,6487.2,6
T0294,South,Retail,TR00027,Stock,Long,2025-10-27,536.86,536.5185364090634,-300.49,4.19,880,1,4,Yes,1,No,-300.49,Afternoon,472436.8,3687.2,7
T0386,West,Retail,TR00028,Commodity,Short,2026-01-07,75.84,76.07787962615085,6986.52,0.03,979,30,293,No,3,Yes,6986.52,Afternoon,2227420.8,881.1,8
T0192,North,Retail,TR00029,Stock,Long,2025-04-27,430.8,429.9019489568748,-3888.56,0.67,433,10,276,No,1,No,-3888.56,Morning,1865364.0,2901.1,8
T0444,West,Retail,TR00030,Stock,Long,2025-08-24,134.64,134.88456858369364,314.76,11.3,429,3,13,Yes,1,Yes,314.76,Afternoon,173281.68,14543.1,9
T0277,South,Retail,TR00031,Forex,Short,2025-07-26,57.49,59.30566987478549,22877.44,0.48,252,50,97,No,5,Yes,22877.44,Morning,724374.0,6048.0,9
T0161,South,Retail,TR00032,Stock,Long,2025-06-02,966.89,978.0053935849704,17695.71,68.75,796,2,75,No,4,Yes,17695.71,Afternoon,1539288.88,109450.0,1
T0460,East,Retail,TR00033,Stock,Short,2025-11-11,732.79,702.9597802791405,-75440.63,71.82,843,3,138,No,4,No,-75440.63,Morning,1853225.91,181632.78,2
T0314,West,Retail,TR00034,Stock,Long,2025-08-30,721.87,724.2610732781383,26875.66,59.26,562,20,110,No,5,Yes,26875.66,Evening,8113818.8,666082.4,3
T0022,North,Institutional,TR00035,Commodity,Long,2026-01-06,99.64,103.1562794083178,159463.27,0.66,907,50,15,No,5,Yes,159463.27,Evening,4518674.0,29931.0,3
T0253,West,Retail,TR00036,Stock,Long,2025-03-27,930.06,930.9679715732038,1494.52,83.14,823,2,129,No,4,Yes,1494.52,Evening,1530878.76,136848.44,3
T0236,West,Retail,TR00037,Stock,Short,2025-04-05,474.77,457.6118061115385,-111356.68,45.49,649,10,112,No,3,No,-111356.68,Morning,3081257.3,295230.1,3
T0345,North,Retail,TR00038,Stock,Short,2025-04-22,853.76,836.3184937844711,-47615.31,60.31,910,3,90,No,3,No,-47615.31,Evening,2330764.8,164646.3,4
T0049,West,Retail,TR00039,Stock,Short,2025-11-22,22.48,22.435523330287285,-328.24,1.39,738,10,61,No,1,No,-328.24,Evening,165902.4,10258.2,5
T0475,North,Retail,TR00040,Stock,Long,2026-01-12,305.22,300.37940842867465,-2139.54,18.37,221,2,371,No,1,No,-2139.54,Afternoon,134907.24,8119.54,6
T0059,North,Retail,TR00041,Crypto,Short,2025-10-01,996.09,1028.393313130732,10950.82,81.7,113,3,227,No,4,Yes,10950.82,Evening,337674.51,27696.3,7
T0170,West,Retail,TR00042,Commodity,Long,2026-01-12,433.56,424.33718861984016,-1374.2,24.0,149,1,105,No,1,No,-1374.2,Morning,64600.44,3576.0,8
T0476,West,Retail,TR00043,Stock,Long,2025-05-23,889.61,888.7887060926471,-1379.77,29.69,560,3,0,Yes,2,No,-1379.77,Morning,1494544.8,49879.2,9
T0188,South,Retail,TR00044,Forex,Short,2025-09-14,334.72,334.68183418832336,-22.14,32.48,58,10,67,No,3,No,-22.14,Evening,194137.6,18838.4,10
T0464,South,Retail,TR00045,Commodity,Short,2026-02-01,530.08,546.4893230557338,9697.91,2.57,197,3,144,No,1,Yes,9697.91,Afternoon,313277.28,1518.87,11
T0271,East,Retail,TR00046,Stock,Long,2025-11-23,855.68,854.1658429512648,-5579.67,56.93,737,5,14,Yes,3,No,-6015.3,Evening,3153180.8,209787.05,12
T0190,East,Retail,TR00047,Stock,Long,2025-06-18,609.76,623.63505718919,45024.56,35.71,649,5,62,No,2,Yes,45024.56,Morning,1978671.2,115878.95,12
T0446,West,Institutional,TR00048,Commodity,Long,2025-07-29,727.94,724.2471121448928,-5221.74,46.53,707,2,25,No,3,No,-5221.74,Evening,1029307.16,65793.42,12
T0175,North,Retail,TR00049,Crypto,Short,2025-05-08,236.54,235.9616341765351,-1245.8,15.19,718,3,49,No,1,No,-1245.8,Afternoon,509507.16,32719.26,1
T0446,East,Retail,TR00050,Stock,Short,2025-07-11,164.33,163.10627752386833,-22.03,2.03,18,1,3,Yes,1,No,-5243.77,Evening,2957.94,36.54,1
T0051,West,Retail,TR00051,Stock,Short,2025-11-14,238.0,229.71376340413607,-19389.79,3.18,780,3,16,No,1,No,-19389.79,Morning,556920.0,7441.2,1
T0364,East,Institutional,TR00052,Stock,Short,2025-07-26,498.12,508.1500954005963,6469.41,3.36,215,3,72,No,1,Yes,6469.41,Morning,321287.4,2167.2,1
T0055,North,Retail,TR00053,Stock,Short,2025-11-30,802.96,814.5179699016107,8298.62,75.35,718,1,274,No,4,Yes,8298.62,Afternoon,576525.28,54101.3,2
T0244,West,Retail,TR00054,Crypto,Short,2025-04-11,360.45,360.3245909522185,-239.28,21.98,636,3,80,No,1,No,-239.28,Afternoon,687738.6,41937.84,3
T0320,North,Retail,TR00055,Forex,Long,2025-12-01,569.17,563.8482868479028,-851.47,4.39,16,10,72,No,1,No,-851.47,Afternoon,91067.2,702.4,4
T0131,West,Retail,TR00056,Forex,Short,2025-05-06,806.76,786.9003891350592,-40334.87,34.99,677,3,185,No,2,No,-40966.97,Morning,1638529.56,71064.69,5
T0485,East,Retail,TR00057,Stock,Short,2025-09-06,246.39,243.7108948301289,-8841.05,8.85,660,5,37,No,1,No,-8841.05,Evening,813087.0,29205.0,5
T0307,South,Retail,TR00058,Stock,Long,2025-03-12,884.15,883.543910130056,-1432.8,13.1,788,3,11,Yes,1,No,-1432.8,Afternoon,2090130.6,30968.4,6
T0135,East,Institutional,TR00059,Stock,Long,2025-05-22,953.55,959.5746545503638,24038.37,78.38,399,10,28,No,5,Yes,24038.37,Afternoon,3804664.5,312736.2,6
T0021,East,Retail,TR00060,Crypto,Long,2025-10-16,48.58,49.03408869305636,317.41,3.77,233,3,188,No,1,Yes,17178.58,Evening,33957.42,2635.23,6
T0329,South,Retail,TR00061,Forex,Short,2025-08-31,68.52,67.27015387865332,-93.74,3.18,25,3,135,No,1,No,-93.74,Evening,5139.0,238.5,6
T0167,South,Institutional,TR00062,Stock,Long,2025-04-08,100.05,98.30937713941158,-13959.8,5.23,401,20,11,Yes,2,No,-13959.8,Afternoon,802401.0,41944.6,7
T0274,West,Retail,TR00063,Stock,Short,2025-09-17,779.0,777.8697605167627,-881.59,34.0,780,1,131,No,2,No,-881.59,Evening,607620.0,26520.0,8
T0388,West,Institutional,TR00064,Crypto,Short,2025-10-26,197.44,196.09267298253232,-983.55,10.88,365,2,321,No,1,No,-983.55,Afternoon,144131.2,7942.4,1
T0089,North,Retail,TR00065,Forex,Long,2025-05-30,728.44,738.2992819939668,46240.03,53.36,938,5,5,Yes,3,Yes,46240.03,Afternoon,3416383.6,250258.4,1
T0316,North,Retail,TR00066,Stock,Short,2025-07-22,446.86,434.3203811044817,-73983.75,39.14,295,20,114,No,4,No,-73983.75,Afternoon,2636474.0,230926.0,2
T0014,East,Retail,TR00067,Stock,Long,2025-05-07,837.89,847.5610774121776,9206.87,49.63,952,1,57,No,3,Yes,9206.87,Evening,797671.28,47247.76,2
T0242,South,Retail,TR00068,Stock,Short,2025-05-06,810.47,811.4498598170509,428.2,10.2,437,1,83,No,1,Yes,428.2,Afternoon,354175.39,4457.4,2
T0265,North,Retail,TR00069,Crypto,Long,2025-05-21,960.07,948.1965176515176,-1686.03,74.12,71,2,90,No,4,No,-1686.03,Evening,136329.94,10525.04,3
T0346,East,Institutional,TR00070,Forex,Short,2025-09-01,258.53,260.19249964129875,3551.1,9.62,712,3,176,No,1,Yes,3551.1,Morning,552220.08,20548.32,4
T0053,South,Institutional,TR00071,Crypto,Short,2026-02-04,236.95,239.7544337427956,55191.26,14.92,984,20,97,No,3,Yes,55191.26,Evening,4663176.0,293625.6,5
T0386,West,Retail,TR00072,Crypto,Long,2025-05-25,41.19,39.62240161062453,-43814.37,0.82,559,50,107,No,5,No,-36827.85,Evening,1151260.5,22919.0,6
T0340,East,Retail,TR00073,Commodity,Long,2025-12-26,416.31,432.5362565008581,405.66,6.8,25,1,48,No,1,Yes,405.66,Morning,10407.75,170.0,7
T0092,West,Retail,TR00074,Stock,Short,2025-12-27,464.47,464.06900658129103,-290.72,2.45,725,1,16,No,1,No,-290.72,Morning,336740.75,1776.25,7
T0367,North,Institutional,TR00075,Stock,Short,2025-10-03,964.87,973.7648810311938,168291.15,30.34,946,20,137,No,4,Yes,168291.15,Afternoon,18255340.4,574032.8,8
T0444,North,Retail,TR00076,Stock,Short,2025-04-10,832.48,839.70340821033,5403.11,49.71,374,2,0,Yes,3,Yes,5717.87,Morning,622695.04,37183.08,8
T0455,South,Retail,TR00077,Stock,Long,2025-10-20,175.12,175.7062516801379,958.52,5.58,545,3,47,No,1,Yes,958.52,Evening,286321.2,9123.3,9
T0428,East,Retail,TR00078,Crypto,Long,2025-07-04,800.5,792.1445474969659,-7653.59,19.28,458,2,29,No,1,No,-7653.59,Afternoon,733258.0,17660.48,9
T0264,West,Retail,TR00079,Crypto,Long,2025-04-14,186.52,186.8639484938141,147.21,18.56,214,2,59,No,1,Yes,147.21,Afternoon,79830.56,7943.68,9
T0431,South,Institutional,TR00080,Forex,Long,2025-11-20,86.99,86.99640407805563,4.05,8.69,211,3,44,No,1,Yes,4.05,Morning,55064.67,5500.77,9
T0035,North,Retail,TR00081,Stock,Short,2025-04-16,838.71,843.4746358878243,7733.0,50.74,541,3,146,No,3,Yes,7733.0,Morning,1361226.33,82351.02,9
T0206,North,Retail,TR00082,Stock,Short,2025-04-08,976.2,1006.0914905163452,115231.7,31.59,771,5,36,No,2,Yes,115231.7,Morning,3763251.0,121779.45,10
T0081,East,Retail,TR00083,Stock,Short,2025-08-04,97.24,96.647328612483,-115.57,8.38,39,5,98,No,1,No,-115.57,Afternoon,18961.8,1634.1,11
T0420,West,Retail,TR00084,Crypto,Short,2025-05-29,815.79,800.8130982289092,-11681.98,60.11,260,3,73,No,3,No,-11681.98,Afternoon,636316.2,46885.8,12
T0050,East,Retail,TR00085,Stock,Long,2025-11-10,860.62,861.3878063706352,10396.1,53.01,677,20,193,No,5,Yes,10396.1,Morning,11652794.8,717755.4,12
T0360,West,Retail,TR00086,Stock,Long,2025-10-01,127.57,125.69306035934416,-3566.19,11.59,95,20,67,No,3,No,-10893.72,Afternoon,242383.0,22021.0,1
T0388,West,Retail,TR00087,Stock,Long,2026-02-08,290.42,283.9631164074784,-5036.37,12.93,390,2,239,No,1,No,-6019.92,Afternoon,226527.6,10085.4,2
T0002,East,Retail,TR00088,Commodity,Long,2026-02-19,736.32,725.396814155821,-7209.3,18.81,220,3,0,Yes,1,No,-7209.3,Afternoon,485971.2,12414.6,3
T0390,South,Retail,TR00089,Forex,Short,2025-05-23,809.65,787.0719109572382,-204557.49,78.3,906,10,111,No,5,No,-204557.49,Afternoon,7335429.0,709398.0,3
T0054,East,Retail,TR00090,Commodity,Short,2026-02-17,360.43,351.1613837068031,-49679.78,31.01,268,20,1,Yes,4,No,-49679.78,Afternoon,1931904.8,166213.6,4
T0106,East,Retail,TR00091,Crypto,Long,2025-09-20,168.33,173.2476835273054,4858.67,15.35,494,2,150,No,1,Yes,4858.67,Evening,166310.04,15165.8,4
T0260,North,Retail,TR00092,Forex,Short,2025-08-01,651.86,665.6140811095872,25995.21,59.85,630,3,32,No,3,Yes,25995.21,Afternoon,1232015.4,113116.5,5
T0310,North,Retail,TR00093,Stock,Short,2025-06-06,704.95,704.4853713396046,-92.0,26.97,66,3,57,No,2,No,-92.0,Morning,139580.1,5340.06,5
T0477,East,Retail,TR00094,Stock,Short,2025-07-20,508.57,497.55369386231615,-21316.55,43.78,387,5,57,No,3,No,-21316.55,Afternoon,984082.95,84714.3,6
T0191,East,Retail,TR00095,Forex,Long,2025-08-21,153.49,147.72742868312204,-3336.53,13.65,193,3,224,No,1,No,-3336.53,Afternoon,88870.71,7903.35,6
T0402,North,Retail,TR00096,Crypto,Short,2025-03-21,846.04,841.2628918631829,-3057.35,46.33,320,2,12,Yes,3,No,-3057.35,Morning,541465.6,29651.2,6
T0218,West,Institutional,TR00097,Stock,Long,2025-10-15,648.81,657.2362440046386,46091.55,40.57,547,10,131,No,3,Yes,46091.55,Evening,3548990.7,221917.9,6
T0044,East,Retail,TR00098,Stock,Long,2025-06-26,870.47,868.3714010373212,-5792.13,50.27,920,3,477,No,3,No,-5792.13,Morning,2402497.2,138745.2,7
T0162,South,Retail,TR00099,Forex,Short,2025-12-07,933.64,951.2248325675016,3077.35,1.5,175,1,2,Yes,1,Yes,3077.35,Morning,163387.0,262.5,1
T0202,South,Retail,TR00100,Stock,Long,2025-12-05,807.64,800.7088201123921,-23288.76,43.25,112,30,405,No,5,No,-23288.76,Morning,2713670.4,145320.0,1
T0446,South,Retail,TR00101,Forex,Long,2025-07-04,959.07,953.5411694552644,-3405.76,3.63,308,2,2,Yes,1,No,-8649.53,Afternoon,590787.12,2236.08,1
T0484,East,Institutional,TR00102,Stock,Long,2026-01-24,954.72,964.999418211295,16488.19,43.06,802,2,220,No,2,Yes,16488.19,Afternoon,1531370.88,69068.24,2
T0270,West,Retail,TR00103,Stock,Long,2025-09-04,623.15,606.4743738721106,-113394.26,2.85,340,20,390,No,2,No,-113394.26,Afternoon,4237420.0,19380.0,2
T0351,West,Institutional,TR00104,Stock,Long,2025-08-21,730.89,733.8346366526301,706.71,33.28,80,3,595,No,2,Yes,706.71,Morning,175413.6,7987.2,2
T0304,North,Institutional,TR00105,Forex,Long,2025-11-20,702.41,704.5642538502597,3089.2,21.41,478,3,73,No,1,Yes,3089.2,Afternoon,1007255.94,30701.94,3
T0271,East,Institutional,TR00106,Forex,Long,2025-10-13,624.92,622.0200032949696,-1609.5,48.36,111,5,242,No,3,No,-7624.8,Evening,346830.6,26839.8,3
T0456,West,Institutional,TR00107,Stock,Long,2025-05-18,29.16,29.940723307549444,380.21,1.4,487,1,15,No,1,Yes,380.21,Afternoon,14200.92,681.8,4
T0462,East,Institutional,TR00108,Crypto,Long,2025-11-18,362.35,367.3433618217872,9197.77,18.56,921,2,66,No,1,Yes,9197.77,Afternoon,667448.7,34187.52,4
T0215,North,Retail,TR00109,Stock,Long,2026-02-18,109.08,105.62509051455618,-1565.07,9.86,453,1,44,No,1,No,392.65,Morning,49413.24,4466.58,4
T0252,North,Retail,TR00110,Stock,Short,2025-09-30,307.26,304.9158111710204,-1936.3,14.82,413,2,60,No,1,No,-1936.3,Evening,253796.76,12241.32,5
T0190,North,Retail,TR00111,Forex,Short,2026-02-21,77.88,76.79449621639073,-21644.95,1.22,997,20,145,No,2,No,23379.61,Evening,1552927.2,24326.8,6
T0296,South,Retail,TR00112,Stock,Long,2026-01-04,920.83,918.6727484008496,-39089.4,10.37,604,30,10,Yes,4,No,-39089.4,Evening,16685439.6,187904.4,7
T0213,East,Institutional,TR00113,Forex,Long,2025-03-02,456.82,447.7941264634664,-25994.52,13.97,960,3,756,No,1,No,-25994.52,Afternoon,1315641.6,40233.6,8
T0208,North,Retail,TR00114,Commodity,Short,2026-02-12,197.47,193.2986865573665,-7917.15,5.24,949,2,120,No,1,No,-7917.15,Evening,374798.06,9945.52,8
T0237,East,Institutional,TR00115,Forex,Long,2026-02-14,588.93,586.9541334982077,-735.02,48.2,186,2,248,No,3,No,-735.02,Morning,219081.96,17930.4,1
T0338,South,Institutional,TR00116,Forex,Long,2025-06-03,204.49,204.81935704859129,546.4,15.52,553,3,212,No,1,Yes,546.4,Evening,339248.91,25747.68,1
T0367,South,Retail,TR00117,Forex,Short,2026-02-10,806.4,793.1322133752868,-23085.95,4.73,87,20,174,No,2,No,145205.2,Afternoon,1403136.0,8230.2,1
T0053,North,Retail,TR00118,Stock,Short,2025-07-02,312.86,306.9903529235774,-26296.02,6.29,224,20,4,Yes,2,No,28895.24,Evening,1401612.8,28179.2,2
T0280,North,Retail,TR00119,Stock,Short,2026-01-26,321.75,311.5596087406404,-519.71,14.44,51,1,87,No,1,No,-519.71,Evening,16409.25,736.44,3
T0410,West,Retail,TR00120,Stock,Long,2025-04-08,871.25,876.8011725200633,1398.9,7.6,126,2,47,No,1,Yes,1398.9,Morning,219555.0,1915.2,3
T0217,East,Retail,TR00121,Commodity,Short,2025-12-04,563.61,559.180978566424,-1293.27,9.37,146,2,14,Yes,1,No,-1293.27,Evening,164574.12,2736.04,3
T0252,North,Institutional,TR00122,Stock,Short,2025-07-07,888.43,877.8266384415939,-8694.76,80.71,41,20,50,No,6,No,-10631.06,Afternoon,728512.6,66182.2,3
T0188,West,Retail,TR00123,Stock,Short,2025-03-21,418.76,425.7393690239687,7433.03,22.66,355,3,124,No,1,Yes,7410.89,Afternoon,445979.4,24132.9,3
T0380,East,Retail,TR00124,Commodity,Long,2025-12-20,350.49,332.578636872604,-23911.67,27.92,445,3,31,No,2,No,-23911.67,Evening,467904.15,37273.2,3
T0493,North,Retail,TR00125,Crypto,Short,2025-05-18,511.14,516.5092809229965,97452.45,16.9,363,50,70,No,6,Yes,97452.45,Morning,9277191.0,306735.0,3
T0041,West,Retail,TR00126,Commodity,Short,2025-12-26,70.88,72.89490318160121,32399.64,2.66,536,30,62,No,3,Yes,32399.64,Morning,1139750.4,42772.8,4
T0157,West,Retail,TR00127,Forex,Long,2026-01-03,162.66,155.8547518281983,-16638.83,13.96,815,3,6,Yes,1,No,-16638.83,Afternoon,397703.7,34132.2,5
T0015,East,Retail,TR00128,Stock,Long,2025-06-23,227.33,218.4395559861334,-5049.77,14.94,284,2,118,No,1,No,-5049.77,Morning,129123.44,8485.92,6
T0301,West,Retail,TR00129,Crypto,Long,2025-04-17,818.51,794.7391478971185,-1711.5,55.53,36,2,115,No,3,No,-1711.5,Evening,58932.72,3998.16,6
T0065,East,Retail,TR00130,Stock,Long,2026-02-13,736.46,718.7083607477767,-9834.41,47.06,277,2,407,No,3,No,-9834.41,Morning,407998.84,26071.24,6
T0345,East,Retail,TR00131,Stock,Long,2025-07-07,201.37,205.39874580666145,14020.04,10.9,696,5,42,No,1,Yes,-33595.27,Morning,700767.6,37932.0,7
T0327,East,Institutional,TR00132,Crypto,Long,2025-09-10,283.98,282.45094949689474,-2484.71,28.15,325,5,65,No,2,No,-2484.71,Afternoon,461467.5,45743.75,7
T0009,South,Retail,TR00133,Forex,Long,2026-01-24,944.82,983.2026943636654,127814.37,84.49,666,5,62,No,5,Yes,127814.37,Evening,3146250.6,281351.7,7
T0344,West,Retail,TR00134,Crypto,Short,2025-11-02,94.94,94.22981660924306,-129.25,6.75,182,1,302,No,1,No,-6410.71,Afternoon,17279.08,1228.5,7
T0129,East,Retail,TR00135,Commodity,Short,2025-08-19,551.98,548.7445220893749,-15239.1,37.43,471,10,63,No,3,No,-15239.1,Morning,2599825.8,176295.3,7
T0492,North,Retail,TR00136,Crypto,Long,2025-09-06,526.79,540.7622957067582,34036.51,4.44,812,3,70,No,1,Yes,33827.71,Afternoon,1283260.44,10815.84,1
T0136,South,Retail,TR00137,Stock,Short,2025-09-11,728.45,691.2105149125683,-15528.87,35.34,417,1,34,No,2,No,-15528.87,Morning,303763.65,14736.78,1
T0472,South,Retail,TR00138,Forex,Short,2025-04-25,268.82,269.4080041078958,3916.11,13.33,666,10,0,Yes,2,Yes,3916.11,Afternoon,1790341.2,88777.8,2
T0063,West,Retail,TR00139,Crypto,Long,2025-09-16,935.42,945.5981701078288,452419.66,4.86,889,50,14,Yes,5,Yes,452419.66,Morning,41579419.0,216027.0,3
T0139,East,Retail,TR00140,Commodity,Short,2025-12-19,416.48,425.7698363728708,4180.43,31.47,150,3,146,No,2,Yes,4180.43,Afternoon,187416.0,14161.5,3
T0499,West,Retail,TR00141,Stock,Short,2025-08-27,292.86,298.0992643023285,4233.33,0.06,404,2,137,No,1,Yes,4233.33,Morning,236630.88,48.48,4
T0081,South,Retail,TR00142,Stock,Short,2026-02-16,343.5,345.30151444868125,1851.96,14.61,514,2,46,No,1,Yes,1736.39,Evening,353118.0,15019.08,4
T0392,East,Retail,TR00143,Crypto,Short,2025-03-10,355.24,364.4454986153586,7447.25,32.09,809,1,76,No,2,Yes,7447.25,Afternoon,287389.16,25960.81,4
T0163,North,Retail,TR00144,Stock,Short,2025-07-28,206.94,212.60088198445604,32040.59,7.04,566,10,42,No,1,Yes,32040.59,Morning,1171280.4,39846.4,5
T0419,East,Retail,TR00145,Forex,Short,2025-03-25,928.77,940.8392918690564,26612.79,54.11,441,5,157,No,3,Yes,26612.79,Morning,2047937.85,119312.55,5
T0289,South,Institutional,TR00146,Stock,Short,2025-09-16,183.13,179.42438261252323,-16934.67,5.64,914,5,221,No,1,No,-16934.67,Evening,836904.1,25774.8,5
T0379,North,Retail,TR00147,Stock,Long,2025-09-26,884.0,886.6838871007332,24181.82,15.82,901,10,275,No,2,Yes,24181.82,Morning,7964840.0,142538.2,1
T0261,East,Retail,TR00148,Crypto,Long,2025-04-24,410.88,417.62855595473934,83007.24,30.0,246,50,22,No,7,Yes,83007.24,Afternoon,5053824.0,369000.0,2
T0490,North,Retail,TR00149,Stock,Short,2025-10-09,276.58,275.0430008265316,-4574.11,5.66,992,3,142,No,1,No,-4574.11,Evening,823102.08,16844.16,3
T0231,North,Institutional,TR00150,Forex,Short,2025-02-24,206.52,209.4056118355612,1327.38,1.49,46,10,395,No,1,Yes,1327.38,Afternoon,94999.2,685.4,4
T0041,South,Retail,TR00151,Stock,Long,2025-07-21,509.3,508.6057539071122,-156.21,22.16,75,3,126,No,1,No,32243.43,Afternoon,114592.5,4986.0,5
T0028,North,Retail,TR00152,Stock,Short,2025-11-18,672.57,664.9273499779133,-3416.26,47.68,149,3,51,No,3,No,-3416.26,Morning,300638.79,21312.96,5
T0135,West,Retail,TR00153,Stock,Long,2025-04-03,899.24,901.932053776132,21859.48,52.16,406,20,121,No,5,Yes,45897.85,Morning,7301828.8,423539.2,6
T0201,South,Retail,TR00154,Crypto,Short,2025-08-31,655.92,637.963558004907,-269.35,16.03,3,5,139,No,1,No,-269.35,Afternoon,9838.8,240.45,6
T0328,West,Retail,TR00155,Stock,Short,2025-07-02,488.83,491.30104107468736,44.48,39.97,9,2,60,No,2,Yes,44.48,Morning,8798.94,719.46,7
T0268,North,Retail,TR00156,Forex,Long,2025-12-05,43.14,42.52224497875944,-952.58,0.42,514,3,13,Yes,1,No,-952.58,Afternoon,66521.88,647.64,7
T0418,West,Retail,TR00157,Forex,Long,2025-04-21,916.27,926.862261974958,25209.58,61.42,238,10,111,No,4,Yes,25209.58,Morning,2180722.6,146179.6,7
T0033,East,Institutional,TR00158,Forex,Short,2026-01-07,903.35,882.8226710113076,-332542.73,54.8,540,30,194,No,6,No,-332542.73,Afternoon,14634270.0,887760.0,8
